Domain,Type,Agency,Organization,City,State,Security Contact Email,v,p,sp,pct,adkim,aspf,fo,ruf,rua,rf,ri,
navy.mil,Military,Department of Defense,Navy - Official Site,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Navy Band (Washington, DC) ,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Navy Blue Angels ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
mynavyexchange.com,Military,Department of Defense,Navy Exchange System ,null,null,null,null,,,,,,,,,,,
facebook.com,Military,Department of Defense,Navy Expeditionary Logistics Support Group,null,null,null,DMARC1,reject,reject,100,r,r,0,mailto:fb-dmarc@datafeeds.phishlabs.com,mailto:a@dmarc.facebookmail.com,afrf,86400,
twitter.com,Military,Department of Defense,Navy Expeditionary Logistics Support Group,null,null,null,DMARC1,reject,reject,100,r,r,1,mailto:d3omt-8484@ruf.dmarc.emailanalyst.com,mailto:d3omt-8484@rua.dmarc.emailanalyst.com,afrf,86400,
instagram.com,Military,Department of Defense,Navy Expeditionary Logistics Support Group,null,null,null,DMARC1,reject,reject,100,r,r,0,mailto:fb-dmarc@datafeeds.phishlabs.com,mailto:a@dmarc.facebookmail.com,afrf,86400,
deps.mil,Military,Department of Defense,Navy Expeditionary Logistics Support Group (NAVELSG),null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
navy.mil,Military,Department of Defense,Navy Fact File ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Navy Information Operation Detachment Groton,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Navy Judge Advocate General Office,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Navy Medicine Professional Development Center,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Navy Personnel Command,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
dodlive.mil,Military,Department of Defense,Navy SONAR Ocean Stewardship ,null,null,null,DMARC1,reject,reject,100,r,r,1,none,mailto:dmarc_reports@mail.mil,afrf,86400,
navy.mil,Military,Department of Defense,NCTAMS PAC DET Puget Sound,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
dtic.mil,Military,Department of Defense,NDIA Conference Proceedings,null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
ng.mil,Military,Department of Defense,Nebraska National Guard,null,null,null,DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
navy.mil,Military,Department of Defense,NETC-ES Shared Authentication Services (SAS),null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,New Hampshire National Guard,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
ng.mil,Military,Department of Defense,New Mexico National Guard,null,null,null,DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
tricare.mil,Military,Department of Defense,NH Beaufort,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Bremerton,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Camp Pendleton,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Guam - Agana,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Guantanamo Bay,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Jacksonville,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Naples,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Okinawa,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Pensacola,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Rota,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Sigonella,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Twentynine Palms,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NH Yokosuka,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NHC Annapolis,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NHC Charleston,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NHC Cherry Point,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NHC Corpus Christi,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NHC Hawaii,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NHC Lemoore,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NHC New England,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NHC Oak Harbor,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NHC Patuxent River,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NHC Quantico,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
navy.mil,Military,Department of Defense,NIOC Pensacola,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navyleader.org,Military,Department of Defense,NLEC (Navy Leader),null,null,null,null,,,,,,,,,,,
tricare.mil,Military,Department of Defense,NMC Camp Lejeune*,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NMC Portsmouth*,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,NMC San Diego,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
esgr.mil,Military,Department of Defense,North Carolina Employer Support of the Guard and Reserve,null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
ndarmyguard.com,Military,Department of Defense,North Dakota Army National Guard,null,null,null,DMARC1,reject,reject,100,r,r,0,none,none,afrf,86400,
nd.gov,Military,Department of Defense,North Dakota National Guard,null,null,null,DMARC1,none,none,100,r,r,0,none,mailto:postmaster@nd.gov,afrf,86400,
northcom.mil,Military,Department of Defense,Northern Command,null,null,null,null,,,,,,,,,,,
sandiego.edu,Military,Department of Defense,NROTC San Diego,null,null,null,DMARC1,none,none,100,r,r,1,mailto:1aa940df@inbox.ondmarc.com,"mailto:1aa940df@inbox.ondmarc.com,mailto:xra9bxrz@ag.dmarcian.com",afrf,3600,
washington.edu,Military,Department of Defense,NROTC University of Washington,null,null,null,DMARC1,none,none,100,r,r,1,mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc_rua@emaildefense.proofpoint.com,afrf,86400,
army.mil,Military,Department of Defense,Office of Army Cemeteries,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,Office of Army Cemeteries,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,Office of Business Transformation,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
oldcc.gov,Military,Department of Defense,Office of Local Defense Community Cooperation,null,null,null,null,,,,,,,,,,,
navy.mil,Military,Department of Defense,Office of Naval Research,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,Office of the Assistant Chief of Staff for Installation Management (OACSIM),null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
defense.gov,Military,Department of Defense,Office of the Assistant Secretary of Defense for Operational Energy ,null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:itservicedesk@defense.gov",afrf,86400,
osd.mil,Military,Department of Defense,Office of the Assistant Secretary of Defense Logistics and Materiel Readiness,null,null,null,DMARC1,reject,reject,100,r,r,1:s:d,mailto:disa.pentagon.jsp.mbx.opord-18-0206-oge@mail.mil,mailto:DMARC_REPORTS@mail.mil,afrf,86400,
osd.mil,Military,Department of Defense,Office of the Assistant Secretary of Defense Research and Engineering,null,null,null,DMARC1,reject,reject,100,r,r,1:s:d,mailto:disa.pentagon.jsp.mbx.opord-18-0206-oge@mail.mil,mailto:DMARC_REPORTS@mail.mil,afrf,86400,
army.mil,Military,Department of Defense,Office of the Chief of Chaplains,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,Office of the Chief of Chaplains,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
businessdefense.gov,Military,Department of Defense,Office of the Deputy Assistant Secretary of Defense for Manufacturing and Industrial Base Policy,null,null,null,null,,,,,,,,,,,
defense.gov,Military,Department of Defense,Office of the Deputy Chief Management Officer ,null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:itservicedesk@defense.gov",afrf,86400,
cto.mil,Military,Department of Defense,Office of the Under Secretary of Defense for Research & Engineering - OUSD(R&E),null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
dodlive.mil,Military,Department of Defense,Office of Warrior Care Policy,null,null,null,DMARC1,reject,reject,100,r,r,1,none,mailto:dmarc_reports@mail.mil,afrf,86400,
army.mil,Military,Department of Defense,Official Website of New Orleans District, US Army Corps of Engineers ,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
goguardok.com,Military,Department of Defense,Oklahoma Army National Guard,null,null,null,DMARC1,none,none,100,r,r,0,mailto:dmarc@mailinblue.com!10m,mailto:dmarc@mailinblue.com!10m,afrf,86400,
ng.mil,Military,Department of Defense,Oregon National Guard,null,null,null,DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
oregonmilitaryfamily.org,Military,Department of Defense,Oregon National Guard Service Member & Family Support,null,null,null,null,,,,,,,,,,,
defense.gov,Military,Department of Defense,OSD Historical Office,null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:itservicedesk@defense.gov",afrf,86400,
dodrif.us,Military,Department of Defense,OSD R&E Rapid Innovation Funds Program,null,null,null,DMARC1,none,none,100,r,r,0,mailto:dmarcruf@dodrif.us,mailto:dmarcrua@dodrif.us,afrf,86400,
defense.gov,Military,Department of Defense,OUSD Comptroller,null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:itservicedesk@defense.gov",afrf,86400,
dodlive.mil,Military,Department of Defense,ousd p&r dha,null,null,null,DMARC1,reject,reject,100,r,r,1,none,mailto:dmarc_reports@mail.mil,afrf,86400,
dau.edu,Military,Department of Defense,OUSD(A&S),null,null,null,DMARC1,quarantine,quarantine,100,r,r,1,mailto:dmarc_failure_reports@dau.edu,mailto:dmarc_reports@dau.edu,afrf,86400,
linkedin.com,Military,Department of Defense,OUSD(R&E),null,null,null,DMARC1,reject,reject,100,r,r,0,"mailto:d@ruf.agari.com,mailto:yfy3q-9359@ruf.dmarc.emailanalyst.com","mailto:d@rua.agari.com,mailto:yfy3q-9359@rua.dmarc.emailanalyst.com",afrf,86400,
pacom.mil,Military,Department of Defense,Pacific Command,null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:DMARC_reports@mail.mil,afrf,86400,
navy.mil,Military,Department of Defense,Patrol Squadron Six Nine,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Patrol Squadron SIXTEEN,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
dfas.mil,Military,Department of Defense,Pay ,null,null,null,DMARC1,reject,reject,100,r,r,1,"mailto:dfas.indianapolis-in.ztd.mbx.cin-spam@mail.mil,","mailto:dmarc_reports@mail.mil,",afrf,86400,
armywarcollege.edu,Military,Department of Defense,Peacekeeping and Stability Operations Institute,null,null,null,null,,,,,,,,,,,
navy.mil,Military,Department of Defense,Pearl Harbor Naval Shipyard & Intermediate Maintenance Facility*,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
pfpa.mil,Military,Department of Defense,Pentagon Force Protection Agency (PFPA) ,null,null,null,DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
whs.mil,Military,Department of Defense,Pentagon Library,null,null,null,DMARC1,reject,reject,100,r,r,1:s,mailto:disa.pentagon.jsp.mbx.opord-18-0206-oge@mail.mil,mailto:DMARC_REPORTS@mail.mil,afrf,86400,
pentagonmemorial.net,Military,Department of Defense,Pentagon Memorial Fund (Non-Profit Organization) ,null,null,null,null,,,,,,,,,,,
army.mil,Military,Department of Defense,PEO Combat Support & Combat Service Support,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,PEO EIS- PMW 205,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,PEO Ground Combat Systems,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,PEO IEW&S website,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,PEO Soldier HQ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
dodlive.mil,Military,Department of Defense,PEO Soldier LIVE HQ,null,null,null,DMARC1,reject,reject,100,r,r,1,none,mailto:dmarc_reports@mail.mil,afrf,86400,
caoc.mil,Military,Department of Defense,PEO STRI - TSMO,null,null,null,null,,,,,,,,,,,
army.mil,Military,Department of Defense,PEO_EIS CMS,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
defense.gov,Military,Department of Defense,Personnel and Readiness,null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:itservicedesk@defense.gov",afrf,86400,
dod.mil,Military,Department of Defense,Personnel Force Innovation,null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
osd.mil,Military,Department of Defense,Physical Security Equipment Action Group (PSEAG),null,null,null,DMARC1,reject,reject,100,r,r,1:s:d,mailto:disa.pentagon.jsp.mbx.opord-18-0206-oge@mail.mil,mailto:DMARC_REPORTS@mail.mil,afrf,86400,
army.mil,Military,Department of Defense,PM PNT - Positioning Navigation Timing Website,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
defense.gov,Military,Department of Defense,Policy,null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:itservicedesk@defense.gov",afrf,86400,
dpaa.mil,Military,Department of Defense,Prisoner of War/Missing Personnel Office, Defense (DPMO) ,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
osd.mil,Military,Department of Defense,Procurement, Defense ,null,null,DMARC1,reject,reject,100,r,r,1:s:d,mailto:disa.pentagon.jsp.mbx.opord-18-0206-oge@mail.mil,mailto:DMARC_REPORTS@mail.mil,afrf,86400,
